2024-09-24 16:31:19,363 - INFO - Logger setup complete. Logging to both file and console.
2024-09-24 16:31:19,365 - INFO - Processing train dataset.
2024-09-24 16:31:19,366 - INFO - Starting outlier detection and removal.
2024-09-24 16:31:19,367 - INFO - Checking outliers for column: Sales
2024-09-24 16:31:19,430 - INFO - Found 26694 outliers in column Sales.
2024-09-24 16:31:19,628 - INFO - Outliers removed from column Sales.
2024-09-24 16:31:19,628 - INFO - Checking outliers for column: Customers
2024-09-24 16:31:19,667 - INFO - Found 22641 outliers in column Customers.
2024-09-24 16:31:19,743 - INFO - Outliers removed from column Customers.
2024-09-24 16:31:19,745 - INFO - Processing test dataset.
2024-09-24 16:31:19,746 - INFO - Starting outlier detection and removal.
2024-09-24 16:31:19,747 - INFO - Processing store dataset.
2024-09-24 16:31:19,748 - INFO - Starting outlier detection and removal.
2024-09-24 16:31:19,749 - INFO - Checking outliers for column: CompetitionDistance
2024-09-24 16:31:19,752 - INFO - Found 108 outliers in column CompetitionDistance.
2024-09-24 16:31:19,772 - INFO - Outliers removed from column CompetitionDistance.
2024-09-24 16:31:19,784 - INFO - Checking promotion distribution between training and test sets.
2024-09-24 16:31:19,788 - INFO - Plotting the promotion distribution for the training and test sets.
2024-09-24 16:31:22,298 - INFO - Calculating normalized promotion distribution for both datasets.
2024-09-24 16:31:22,319 - INFO - Training Set Promotion Distribution (Normalized):
Promo
0    0.629301
1    0.370699
Name: proportion, dtype: float64
2024-09-24 16:31:22,320 - INFO - Test Set Promotion Distribution (Normalized):
Promo
0    0.604167
1    0.395833
Name: proportion, dtype: float64
2024-09-24 16:31:22,322 - INFO - Percentage Difference in Promotion Distribution:
Promo
0    0.025134
1    0.025134
Name: proportion, dtype: float64
2024-09-24 16:31:22,331 - INFO - Merging the train and store datasets on the 'Store' column.
2024-09-24 16:31:22,617 - INFO - Merge completed. The merged dataset has 871135 rows and 18 columns.
2024-09-24 16:31:23,146 - INFO - Starting sales behavior analysis around holidays.
2024-09-24 16:31:23,263 - INFO - Converted date column to datetime format.
2024-09-24 16:31:23,327 - INFO - Identified 534 holiday dates.
2024-09-24 16:31:23,364 - INFO - Marked periods before, during, and after each holiday.
2024-09-24 16:31:25,554 - INFO - Marked periods before, during, and after each holiday.
2024-09-24 16:31:25,588 - INFO - Marked periods before, during, and after each holiday.
2024-09-24 16:31:25,623 - INFO - Marked periods before, during, and after each holiday.
2024-09-24 16:31:25,659 - INFO - Marked periods before, during, and after each holiday.
2024-09-24 16:31:25,691 - INFO - Marked periods before, during, and after each holiday.
2024-09-24 16:31:25,720 - INFO - Marked periods before, during, and after each holiday.
2024-09-24 16:31:25,754 - INFO - Marked periods before, during, and after each holiday.
2024-09-24 16:31:25,783 - INFO - Marked periods before, during, and after each holiday.
2024-09-24 16:31:25,815 - INFO - Marked periods before, during, and after each holiday.
2024-09-24 16:31:25,846 - INFO - Marked periods before, during, and after each holiday.
2024-09-24 16:31:25,878 - INFO - Marked periods before, during, and after each holiday.
2024-09-24 16:31:25,912 - INFO - Marked periods before, during, and after each holiday.
2024-09-24 16:31:25,943 - INFO - Marked periods before, during, and after each holiday.
2024-09-24 16:31:25,974 - INFO - Marked periods before, during, and after each holiday.
2024-09-24 16:31:26,001 - INFO - Marked periods before, during, and after each holiday.
2024-09-24 16:31:26,035 - INFO - Marked periods before, during, and after each holiday.
2024-09-24 16:31:26,071 - INFO - Marked periods before, during, and after each holiday.
2024-09-24 16:31:26,170 - INFO - Marked periods before, during, and after each holiday.
2024-09-24 16:31:26,211 - INFO - Marked periods before, during, and after each holiday.
2024-09-24 16:31:26,242 - INFO - Marked periods before, during, and after each holiday.
2024-09-24 16:31:26,275 - INFO - Marked periods before, during, and after each holiday.
2024-09-24 16:31:26,308 - INFO - Marked periods before, during, and after each holiday.
2024-09-24 16:31:26,340 - INFO - Marked periods before, during, and after each holiday.
2024-09-24 16:31:26,372 - INFO - Marked periods before, during, and after each holiday.
2024-09-24 16:31:26,408 - INFO - Marked periods before, during, and after each holiday.
2024-09-24 16:31:26,439 - INFO - Marked periods before, during, and after each holiday.
2024-09-24 16:31:26,469 - INFO - Marked periods before, during, and after each holiday.
2024-09-24 16:31:26,495 - INFO - Marked periods before, during, and after each holiday.
2024-09-24 16:31:26,526 - INFO - Marked periods before, during, and after each holiday.
2024-09-24 16:31:26,553 - INFO - Marked periods before, during, and after each holiday.
2024-09-24 16:31:26,581 - INFO - Marked periods before, during, and after each holiday.
2024-09-24 16:31:26,611 - INFO - Marked periods before, during, and after each holiday.
2024-09-24 16:31:26,641 - INFO - Marked periods before, during, and after each holiday.
2024-09-24 16:31:26,672 - INFO - Marked periods before, during, and after each holiday.
2024-09-24 16:31:26,709 - INFO - Marked periods before, during, and after each holiday.
2024-09-24 16:31:26,739 - INFO - Marked periods before, during, and after each holiday.
2024-09-24 16:31:26,771 - INFO - Marked periods before, during, and after each holiday.
2024-09-24 16:31:26,805 - INFO - Marked periods before, during, and after each holiday.
2024-09-24 16:31:26,831 - INFO - Marked periods before, during, and after each holiday.
2024-09-24 16:31:26,860 - INFO - Marked periods before, during, and after each holiday.
2024-09-24 16:31:26,888 - INFO - Marked periods before, during, and after each holiday.
2024-09-24 16:31:26,918 - INFO - Marked periods before, during, and after each holiday.
2024-09-24 16:31:26,944 - INFO - Marked periods before, during, and after each holiday.
2024-09-24 16:31:26,973 - INFO - Marked periods before, during, and after each holiday.
2024-09-24 16:31:27,000 - INFO - Marked periods before, during, and after each holiday.
2024-09-24 16:31:27,027 - INFO - Marked periods before, during, and after each holiday.
2024-09-24 16:31:27,055 - INFO - Marked periods before, during, and after each holiday.
2024-09-24 16:31:27,081 - INFO - Marked periods before, during, and after each holiday.
2024-09-24 16:31:27,110 - INFO - Marked periods before, during, and after each holiday.
2024-09-24 16:31:27,136 - INFO - Marked periods before, during, and after each holiday.
2024-09-24 16:31:27,164 - INFO - Marked periods before, during, and after each holiday.
2024-09-24 16:31:27,187 - INFO - Marked periods before, during, and after each holiday.
2024-09-24 16:31:27,213 - INFO - Marked periods before, during, and after each holiday.
2024-09-24 16:31:27,240 - INFO - Marked periods before, during, and after each holiday.
2024-09-24 16:31:27,266 - INFO - Marked periods before, during, and after each holiday.
2024-09-24 16:31:27,288 - INFO - Marked periods before, during, and after each holiday.
2024-09-24 16:31:27,312 - INFO - Marked periods before, during, and after each holiday.
2024-09-24 16:31:27,335 - INFO - Marked periods before, during, and after each holiday.
2024-09-24 16:31:27,358 - INFO - Marked periods before, during, and after each holiday.
2024-09-24 16:31:27,381 - INFO - Marked periods before, during, and after each holiday.
2024-09-24 16:31:27,403 - INFO - Marked periods before, during, and after each holiday.
2024-09-24 16:31:27,425 - INFO - Marked periods before, during, and after each holiday.
2024-09-24 16:31:27,448 - INFO - Marked periods before, during, and after each holiday.
2024-09-24 16:31:27,470 - INFO - Marked periods before, during, and after each holiday.
2024-09-24 16:31:27,492 - INFO - Marked periods before, during, and after each holiday.
2024-09-24 16:31:27,515 - INFO - Marked periods before, during, and after each holiday.
2024-09-24 16:31:27,537 - INFO - Marked periods before, during, and after each holiday.
2024-09-24 16:31:27,559 - INFO - Marked periods before, during, and after each holiday.
2024-09-24 16:31:27,582 - INFO - Marked periods before, during, and after each holiday.
2024-09-24 16:31:27,603 - INFO - Marked periods before, during, and after each holiday.
2024-09-24 16:31:27,626 - INFO - Marked periods before, during, and after each holiday.
2024-09-24 16:31:27,648 - INFO - Marked periods before, during, and after each holiday.
2024-09-24 16:31:27,672 - INFO - Marked periods before, during, and after each holiday.
2024-09-24 16:31:27,701 - INFO - Marked periods before, during, and after each holiday.
2024-09-24 16:31:27,723 - INFO - Marked periods before, during, and after each holiday.
2024-09-24 16:31:27,748 - INFO - Marked periods before, during, and after each holiday.
2024-09-24 16:31:27,770 - INFO - Marked periods before, during, and after each holiday.
2024-09-24 16:31:27,792 - INFO - Marked periods before, during, and after each holiday.
2024-09-24 16:31:27,814 - INFO - Marked periods before, during, and after each holiday.
2024-09-24 16:31:27,837 - INFO - Marked periods before, during, and after each holiday.
2024-09-24 16:31:27,859 - INFO - Marked periods before, during, and after each holiday.
2024-09-24 16:31:27,881 - INFO - Marked periods before, during, and after each holiday.
2024-09-24 16:31:27,903 - INFO - Marked periods before, during, and after each holiday.
2024-09-24 16:31:27,925 - INFO - Marked periods before, during, and after each holiday.
2024-09-24 16:31:27,946 - INFO - Marked periods before, during, and after each holiday.
2024-09-24 16:31:27,968 - INFO - Marked periods before, during, and after each holiday.
2024-09-24 16:31:27,990 - INFO - Marked periods before, during, and after each holiday.
2024-09-24 16:31:28,012 - INFO - Marked periods before, during, and after each holiday.
2024-09-24 16:31:28,035 - INFO - Marked periods before, during, and after each holiday.
2024-09-24 16:31:28,060 - INFO - Marked periods before, during, and after each holiday.
2024-09-24 16:31:28,082 - INFO - Marked periods before, during, and after each holiday.
2024-09-24 16:31:28,104 - INFO - Marked periods before, during, and after each holiday.
2024-09-24 16:31:28,123 - INFO - Marked periods before, during, and after each holiday.
2024-09-24 16:31:28,145 - INFO - Marked periods before, during, and after each holiday.
2024-09-24 16:31:28,167 - INFO - Marked periods before, during, and after each holiday.
2024-09-24 16:31:28,188 - INFO - Marked periods before, during, and after each holiday.
2024-09-24 16:31:28,209 - INFO - Marked periods before, during, and after each holiday.
2024-09-24 16:31:28,230 - INFO - Marked periods before, during, and after each holiday.
2024-09-24 16:31:28,252 - INFO - Marked periods before, during, and after each holiday.
2024-09-24 16:31:28,273 - INFO - Marked periods before, during, and after each holiday.
2024-09-24 16:31:28,298 - INFO - Marked periods before, during, and after each holiday.
2024-09-24 16:31:28,323 - INFO - Marked periods before, during, and after each holiday.
2024-09-24 16:31:28,347 - INFO - Marked periods before, during, and after each holiday.
2024-09-24 16:31:28,373 - INFO - Marked periods before, during, and after each holiday.
2024-09-24 16:31:28,398 - INFO - Marked periods before, during, and after each holiday.
2024-09-24 16:31:28,425 - INFO - Marked periods before, during, and after each holiday.
2024-09-24 16:31:28,447 - INFO - Marked periods before, during, and after each holiday.
2024-09-24 16:31:28,473 - INFO - Marked periods before, during, and after each holiday.
2024-09-24 16:31:28,502 - INFO - Marked periods before, during, and after each holiday.
2024-09-24 16:31:28,522 - INFO - Marked periods before, during, and after each holiday.
2024-09-24 16:31:28,542 - INFO - Marked periods before, during, and after each holiday.
2024-09-24 16:31:28,563 - INFO - Marked periods before, during, and after each holiday.
2024-09-24 16:31:28,582 - INFO - Marked periods before, during, and after each holiday.
2024-09-24 16:31:28,601 - INFO - Marked periods before, during, and after each holiday.
2024-09-24 16:31:28,622 - INFO - Marked periods before, during, and after each holiday.
2024-09-24 16:31:28,642 - INFO - Marked periods before, during, and after each holiday.
2024-09-24 16:31:28,661 - INFO - Marked periods before, during, and after each holiday.
2024-09-24 16:31:28,686 - INFO - Marked periods before, during, and after each holiday.
2024-09-24 16:31:28,706 - INFO - Marked periods before, during, and after each holiday.
2024-09-24 16:31:28,727 - INFO - Marked periods before, during, and after each holiday.
2024-09-24 16:31:28,751 - INFO - Marked periods before, during, and after each holiday.
2024-09-24 16:31:28,774 - INFO - Marked periods before, during, and after each holiday.
2024-09-24 16:31:28,798 - INFO - Marked periods before, during, and after each holiday.
2024-09-24 16:31:28,821 - INFO - Marked periods before, during, and after each holiday.
2024-09-24 16:31:28,846 - INFO - Marked periods before, during, and after each holiday.
2024-09-24 16:31:28,869 - INFO - Marked periods before, during, and after each holiday.
2024-09-24 16:31:28,892 - INFO - Marked periods before, during, and after each holiday.
2024-09-24 16:31:28,915 - INFO - Marked periods before, during, and after each holiday.
2024-09-24 16:31:28,945 - INFO - Marked periods before, during, and after each holiday.
2024-09-24 16:31:28,967 - INFO - Marked periods before, during, and after each holiday.
2024-09-24 16:31:28,993 - INFO - Marked periods before, during, and after each holiday.
2024-09-24 16:31:29,016 - INFO - Marked periods before, during, and after each holiday.
2024-09-24 16:31:29,041 - INFO - Marked periods before, during, and after each holiday.
2024-09-24 16:31:29,065 - INFO - Marked periods before, during, and after each holiday.
2024-09-24 16:31:29,092 - INFO - Marked periods before, during, and after each holiday.
2024-09-24 16:31:29,119 - INFO - Marked periods before, during, and after each holiday.
2024-09-24 16:31:29,144 - INFO - Marked periods before, during, and after each holiday.
2024-09-24 16:31:29,167 - INFO - Marked periods before, during, and after each holiday.
2024-09-24 16:31:29,190 - INFO - Marked periods before, during, and after each holiday.
2024-09-24 16:31:29,213 - INFO - Marked periods before, during, and after each holiday.
2024-09-24 16:31:29,237 - INFO - Marked periods before, during, and after each holiday.
2024-09-24 16:31:29,259 - INFO - Marked periods before, during, and after each holiday.
2024-09-24 16:31:29,283 - INFO - Marked periods before, during, and after each holiday.
2024-09-24 16:31:29,306 - INFO - Marked periods before, during, and after each holiday.
2024-09-24 16:31:29,330 - INFO - Marked periods before, during, and after each holiday.
2024-09-24 16:31:29,359 - INFO - Marked periods before, during, and after each holiday.
2024-09-24 16:31:29,382 - INFO - Marked periods before, during, and after each holiday.
2024-09-24 16:31:29,406 - INFO - Marked periods before, during, and after each holiday.
2024-09-24 16:31:29,431 - INFO - Marked periods before, during, and after each holiday.
2024-09-24 16:31:29,455 - INFO - Marked periods before, during, and after each holiday.
2024-09-24 16:31:29,477 - INFO - Marked periods before, during, and after each holiday.
2024-09-24 16:31:29,501 - INFO - Marked periods before, during, and after each holiday.
2024-09-24 16:31:29,524 - INFO - Marked periods before, during, and after each holiday.
2024-09-24 16:31:29,563 - INFO - Marked periods before, during, and after each holiday.
2024-09-24 16:31:29,618 - INFO - Marked periods before, during, and after each holiday.
2024-09-24 16:31:29,645 - INFO - Marked periods before, during, and after each holiday.
2024-09-24 16:31:29,669 - INFO - Marked periods before, during, and after each holiday.
2024-09-24 16:31:29,692 - INFO - Marked periods before, during, and after each holiday.
2024-09-24 16:31:29,718 - INFO - Marked periods before, during, and after each holiday.
2024-09-24 16:31:29,743 - INFO - Marked periods before, during, and after each holiday.
2024-09-24 16:31:29,766 - INFO - Marked periods before, during, and after each holiday.
2024-09-24 16:31:29,790 - INFO - Marked periods before, during, and after each holiday.
2024-09-24 16:31:29,813 - INFO - Marked periods before, during, and after each holiday.
2024-09-24 16:31:29,837 - INFO - Marked periods before, during, and after each holiday.
2024-09-24 16:31:29,860 - INFO - Marked periods before, during, and after each holiday.
2024-09-24 16:31:29,886 - INFO - Marked periods before, during, and after each holiday.
2024-09-24 16:31:29,914 - INFO - Marked periods before, during, and after each holiday.
2024-09-24 16:31:29,942 - INFO - Marked periods before, during, and after each holiday.
2024-09-24 16:31:29,970 - INFO - Marked periods before, during, and after each holiday.
2024-09-24 16:31:29,997 - INFO - Marked periods before, during, and after each holiday.
2024-09-24 16:31:30,027 - INFO - Marked periods before, during, and after each holiday.
2024-09-24 16:31:30,059 - INFO - Marked periods before, during, and after each holiday.
2024-09-24 16:31:30,095 - INFO - Marked periods before, during, and after each holiday.
2024-09-24 16:31:30,129 - INFO - Marked periods before, during, and after each holiday.
2024-09-24 16:31:30,165 - INFO - Marked periods before, during, and after each holiday.
2024-09-24 16:31:30,204 - INFO - Marked periods before, during, and after each holiday.
2024-09-24 16:31:30,249 - INFO - Marked periods before, during, and after each holiday.
2024-09-24 16:31:30,291 - INFO - Marked periods before, during, and after each holiday.
2024-09-24 16:31:30,338 - INFO - Marked periods before, during, and after each holiday.
2024-09-24 16:31:30,383 - INFO - Marked periods before, during, and after each holiday.
2024-09-24 16:31:30,427 - INFO - Marked periods before, during, and after each holiday.
2024-09-24 16:31:30,459 - INFO - Marked periods before, during, and after each holiday.
2024-09-24 16:31:30,499 - INFO - Marked periods before, during, and after each holiday.
2024-09-24 16:31:30,533 - INFO - Marked periods before, during, and after each holiday.
2024-09-24 16:31:30,569 - INFO - Marked periods before, during, and after each holiday.
2024-09-24 16:31:30,605 - INFO - Marked periods before, during, and after each holiday.
2024-09-24 16:31:30,639 - INFO - Marked periods before, during, and after each holiday.
2024-09-24 16:31:30,676 - INFO - Marked periods before, during, and after each holiday.
2024-09-24 16:31:30,707 - INFO - Marked periods before, during, and after each holiday.
2024-09-24 16:31:30,740 - INFO - Marked periods before, during, and after each holiday.
2024-09-24 16:31:30,771 - INFO - Marked periods before, during, and after each holiday.
2024-09-24 16:31:30,802 - INFO - Marked periods before, during, and after each holiday.
2024-09-24 16:31:30,831 - INFO - Marked periods before, during, and after each holiday.
2024-09-24 16:31:30,859 - INFO - Marked periods before, during, and after each holiday.
2024-09-24 16:31:30,887 - INFO - Marked periods before, during, and after each holiday.
2024-09-24 16:31:30,913 - INFO - Marked periods before, during, and after each holiday.
2024-09-24 16:31:30,936 - INFO - Marked periods before, during, and after each holiday.
2024-09-24 16:31:30,961 - INFO - Marked periods before, during, and after each holiday.
2024-09-24 16:31:30,987 - INFO - Marked periods before, during, and after each holiday.
2024-09-24 16:31:31,016 - INFO - Marked periods before, during, and after each holiday.
2024-09-24 16:31:31,040 - INFO - Marked periods before, during, and after each holiday.
2024-09-24 16:31:31,067 - INFO - Marked periods before, during, and after each holiday.
2024-09-24 16:31:31,093 - INFO - Marked periods before, during, and after each holiday.
2024-09-24 16:31:31,119 - INFO - Marked periods before, during, and after each holiday.
2024-09-24 16:31:31,146 - INFO - Marked periods before, during, and after each holiday.
2024-09-24 16:31:31,173 - INFO - Marked periods before, during, and after each holiday.
2024-09-24 16:31:31,200 - INFO - Marked periods before, during, and after each holiday.
2024-09-24 16:31:31,227 - INFO - Marked periods before, during, and after each holiday.
2024-09-24 16:31:31,261 - INFO - Marked periods before, during, and after each holiday.
2024-09-24 16:31:31,295 - INFO - Marked periods before, during, and after each holiday.
2024-09-24 16:31:31,323 - INFO - Marked periods before, during, and after each holiday.
2024-09-24 16:31:31,354 - INFO - Marked periods before, during, and after each holiday.
2024-09-24 16:31:31,382 - INFO - Marked periods before, during, and after each holiday.
2024-09-24 16:31:31,414 - INFO - Marked periods before, during, and after each holiday.
2024-09-24 16:31:31,438 - INFO - Marked periods before, during, and after each holiday.
2024-09-24 16:31:31,467 - INFO - Marked periods before, during, and after each holiday.
2024-09-24 16:31:31,491 - INFO - Marked periods before, during, and after each holiday.
2024-09-24 16:31:31,518 - INFO - Marked periods before, during, and after each holiday.
2024-09-24 16:31:31,547 - INFO - Marked periods before, during, and after each holiday.
